,Unnamed: 0,X,date,team1,team2,t1,t2,score_diff,win,team1_win,score_diff_t1,score_diff_t2,match_date,date_score,sd1_weight,sd2_weight,team_score_diff_t1,team_score_diff_date_t1,team_score_diff_t2,team_score_diff_date_t2,team1,team2
264,265,264,07.09. 20:45,Portugal,Albania,0,1,-1,3,0,-1,1,9,0.7,-0.7,0.7,6,3.8,5,3.3,Portugal,Albania
44,45,44,09.10. 20:45,FYR Macedonia,Ukraine,0,2,-2,3,0,-2,2,10,0.8,-1.6,1.6,-12,-8.1,12,9.5,FYR Macedonia,Ukraine
234,235,234,09.10. 20:45,Belarus,Ukraine,0,2,-2,3,0,-2,2,10,0.8,-1.6,1.6,-6,-5.4,12,9.5,Belarus,Ukraine
37,38,37,10.10. 20:45,Czech Republic,Turkey,0,2,-2,3,0,-2,2,10,0.8,-1.6,1.6,5,4.2,5,3.8,Czech Republic,Turkey
159,160,159,27.03. 20:45,Moldova,Sweden,0,2,-2,3,0,-2,2,3,0.1,-0.2,0.2,-12,-7.8,7,3.9,Moldova,Sweden
45,46,45,09.10. 20:45,Liechtenstein,Sweden,0,2,-2,3,0,-2,2,10,0.8,-1.6,1.6,-24,-14.3,7,3.9,Liechtenstein,Sweden
21,22,21,12.10. 20:45,San Marino,Slovenia,0,2,-2,3,0,-2,2,10,0.8,-1.6,1.6,-35,-22.1,5,-0.1,San Marino,Slovenia
210,211,210,12.10. 20:45,Lithuania,Slovenia,0,2,-2,3,0,-2,2,10,0.8,-1.6,1.6,-11,-6.2,5,-0.1,Lithuania,Slovenia
20,21,20,12.10. 20:45,Luxembourg,Slovakia,2,4,-2,3,0,-2,2,10,0.8,-1.6,1.6,-21,-13.7,9,5,Luxembourg,Slovakia
174,175,174,15.11. 20:45,FYR Macedonia,Slovakia,0,2,-2,3,0,-2,2,11,0.9,-1.8,1.8,-12,-8.1,9,5,FYR Macedonia,Slovakia
209,210,209,12.10. 20:45,Belarus,Slovakia,1,3,-2,3,0,-2,2,10,0.8,-1.6,1.6,-6,-5.4,9,5,Belarus,Slovakia
52,53,52,08.10. 20:45,Albania,Serbia,0,2,-2,3,0,-2,2,10,0.8,-1.6,1.6,5,3.3,-5,-2.9,Albania,Serbia
193,194,193,14.10. 20:45,Finland,Romania,0,2,-2,3,0,-2,2,10,0.8,-1.6,1.6,-1,-0.2,9,6.6,Finland,Romania
196,197,196,14.10. 20:45,Greece,Northern Ireland,0,2,-2,3,0,-2,2,10,0.8,-1.6,1.6,-7,-5.1,8,5.2,Greece,Northern Ireland
96,97,96,04.09. 20:45,Faroe Islands,Northern Ireland,1,3,-2,3,0,-2,2,9,0.7,-1.4,1.4,-11,-7.9,8,5.2,Faroe Islands,Northern Ireland
133,134,133,12.06. 20:45,Latvia,Netherlands,0,2,-2,3,0,-2,2,6,0.4,-0.8,0.8,-13,-10.1,3,2.7,Latvia,Netherlands
65,66,65,08.09. 20:45,Moldova,Montenegro,0,2,-2,3,0,-2,2,9,0.7,-1.4,1.4,-12,-7.8,-3,-0.1,Moldova,Montenegro
255,256,255,08.09. 20:45,San Marino,Lithuania,0,2,-2,3,0,-2,2,9,0.7,-1.4,1.4,-35,-22.1,-11,-6.2,San Marino,Lithuania
248,249,248,09.09. 20:45,Norway,Italy,0,2,-2,3,0,-2,2,9,0.7,-1.4,1.4,1,3.4,9,6.8,Norway,Italy
39,40,39,10.10. 18:00,Azerbaijan,Italy,1,3,-2,3,0,-2,2,10,0.8,-1.6,1.6,-11,-10.2,9,6.8,Azerbaijan,Italy
143,144,143,29.03. 18:00,Georgia,Germany,0,2,-2,3,0,-2,2,3,0.1,-0.2,0.2,-6,-2.1,15,7.8,Georgia,Germany
260,261,260,07.09. 20:45,Faroe Islands,Finland,1,3,-2,3,0,-2,2,9,0.7,-1.4,1.4,-11,-7.9,-1,-0.2,Faroe Islands,Finland
257,258,257,08.09. 20:45,Switzerland,England,0,2,-2,3,0,-2,2,9,0.7,-1.4,1.4,16,11,28,18.4,Switzerland,England
189,190,189,14.11. 20:45,Serbia,Denmark,1,3,-2,3,0,-2,2,11,0.9,-1.8,1.8,-5,-2.9,2,0.8,Serbia,Denmark
208,209,208,13.10. 18:00,Kazakhstan,Czech Republic,2,4,-2,3,0,-2,2,10,0.8,-1.6,1.6,-11,-6.4,5,4.2,Kazakhstan,Czech Republic
129,130,129,12.06. 20:45,Andorra,Cyprus,1,3,-2,3,0,-2,2,6,0.4,-0.8,0.8,-32,-22.4,5,2.5,Andorra,Cyprus
154,155,154,28.03. 18:00,Israel,Wales,0,3,-3,3,0,-3,3,3,0.1,-0.3,0.3,2,5.1,7,2.9,Israel,Wales
180,181,180,15.11. 18:00,Luxembourg,Ukraine,0,3,-3,3,0,-3,3,11,0.9,-2.7,2.7,-21,-13.7,12,9.5,Luxembourg,Ukraine
160,161,160,27.03. 20:45,Montenegro,Russia,0,3,-3,3,0,-3,3,3,0.1,-0.3,0.3,-3,-0.1,16,9.8,Montenegro,Russia
30,31,30,11.10. 18:00,Faroe Islands,Romania,0,3,-3,3,0,-3,3,10,0.8,-2.4,2.4,-11,-7.9,9,6.6,Faroe Islands,Romania
230,231,230,10.10. 20:45,Malta,Norway,0,3,-3,3,0,-3,3,10,0.8,-2.4,2.4,-13,-8.3,1,3.4,Malta,Norway
200,201,200,13.10. 20:45,Andorra,Israel,1,4,-3,3,0,-3,3,10,0.8,-2.4,2.4,-32,-22.4,2,5.1,Andorra,Israel
229,230,229,10.10. 20:45,Latvia,Iceland,0,3,-3,3,0,-3,3,10,0.8,-2.4,2.4,-13,-10.1,11,5.8,Latvia,Iceland
155,156,155,28.03. 16:00,Kazakhstan,Iceland,0,3,-3,3,0,-3,3,3,0.1,-0.3,0.3,-11,-6.4,11,5.8,Kazakhstan,Iceland
195,196,195,14.10. 20:45,Gibraltar,Georgia,0,3,-3,3,0,-3,3,10,0.8,-2.4,2.4,-54,-35.5,-6,-2.1,Gibraltar,Georgia
19,20,19,12.10. 20:45,Lithuania,England,0,3,-3,3,0,-3,3,10,0.8,-2.4,2.4,-11,-6.2,28,18.4,Lithuania,England
147,148,147,28.03. 20:45,Andorra,Bosnia & Herzegovina,0,3,-3,3,0,-3,3,3,0.1,-0.3,0.3,-32,-22.4,-3,-2.7,Andorra,Bosnia & Herzegovina
34,35,34,10.10. 20:45,Andorra,Belgium,1,4,-3,3,0,-3,3,10,0.8,-2.4,2.4,-32,-22.4,19,11.1,Andorra,Belgium
68,69,68,08.09. 20:45,Sweden,Austria,1,4,-3,3,0,-3,3,9,0.7,-2.1,2.1,7,3.9,17,9.4,Sweden,Austria
199,200,199,14.10. 20:45,Serbia,Albania,0,3,-3,3,0,-3,3,10,0.8,-2.4,2.4,-5,-2.9,5,3.3,Serbia,Albania
29,30,29,11.10. 18:00,Armenia,Albania,0,3,-3,3,0,-3,3,10,0.8,-2.4,2.4,-9,-5.9,5,3.3,Armenia,Albania
198,199,198,14.10. 20:45,San Marino,Switzerland,0,4,-4,3,0,-4,4,10,0.8,-3.2,3.2,-35,-22.1,16,11,San Marino,Switzerland
211,212,211,12.10. 20:45,Luxembourg,Spain,0,4,-4,3,0,-4,4,10,0.8,-3.2,3.2,-21,-13.7,20,14.5,Luxembourg,Spain
190,191,190,14.11. 18:00,Georgia,Poland,0,4,-4,3,0,-4,4,11,0.9,-3.6,3.6,-6,-2.1,23,16,Georgia,Poland
98,99,98,04.09. 20:45,Gibraltar,Ireland,0,4,-4,3,0,-4,4,9,0.7,-2.8,2.8,-54,-35.5,14,10.7,Gibraltar,Ireland
158,159,158,27.03. 20:45,Liechtenstein,Austria,0,5,-5,3,0,-5,5,3,0.1,-0.5,0.5,-24,-14.3,17,9.4,Liechtenstein,Austria
27,28,27,11.10. 20:45,Gibraltar,Scotland,0,6,-6,3,0,-6,6,10,0.8,-4.8,4.8,-54,-35.5,10,4.9,Gibraltar,Scotland
93,94,93,05.09. 18:00,San Marino,England,0,6,-6,3,0,-6,6,9,0.7,-4.2,4.2,-35,-22.1,28,18.4,San Marino,England
63,64,63,08.09. 20:45,Liechtenstein,Russia,0,7,-7,3,0,-7,7,9,0.7,-4.9,4.9,-24,-14.3,16,9.8,Liechtenstein,Russia
262,263,262,07.09. 20:45,Gibraltar,Poland,0,7,-7,3,0,-7,7,9,0.7,-4.9,4.9,-54,-35.5,23,16,Gibraltar,Poland
123,124,123,13.06. 20:45,Gibraltar,Germany,0,7,-7,3,0,-7,7,6,0.4,-2.8,2.8,-54,-35.5,15,7.8,Gibraltar,Germany
